Topic,Count,Name,Representation,Representative_Docs
1378,21,1378_credential_osxkeychain_credentials_github,"['credential', 'osxkeychain', 'credentials', 'github', 'reset', 'pat', 'password', 'username', 'reassigning', 'helper']","[""Remove 'credential-osxkeychain'"", 'Remove Git Credential-osxkeychain', ""How do you reset the stored credentials in 'git credential-osxkeychain'?""]"
1379,21,1379_disposition_filename_chinese_download,"['disposition', 'filename', 'chinese', 'download', 'header', 'åäö', 'swedish', 'downloading', 'fpdf', 'encode']","['Content-disposition inline filename not working', 'Special Characters in Content-Disposition filename', 'How can I use a filename with special characters in a Content-Disposition header?']"
1380,21,1380_random_basic_mysql_everytime,"['random', 'basic', 'mysql', 'everytime', 'reached', 'randomize', 'million', 'select', 'rand', '12']","['PHP MySQL select random value from table', 'Get random row from MySQL table', 'MySQL Select by random']"
1381,21,1381_uilabel_vertically_align_top,"['uilabel', 'vertically', 'align', 'top', 'histogram', 'aligned', 'autolayout', 'aforge', 'nivo', 'textalignement']","['Vertically align text to top within a UILabel', 'Vertically align UILabel', 'Vertically align text in a UILabel']"
1382,21,1382_aggregates_aggregate_pods_stl,"['aggregates', 'aggregate', 'pods', 'stl', 'initialization', 'classes', 'raii', 'structs', 'acquisition', '17']","['Aggregates in c++', 'What is aggregates?', 'What is aggregates?']"
1383,21,1383_blame_blaming_prior_previous,"['blame', 'blaming', 'prior', 'previous', 'survived', 'qannotate', 'blames', 'revive', 'bzr', 'reported']","['git: blame the previous version of each line changed in a given commit', 'git: blame the previous version of each line changed in a given commit', 'Can I configure git blame to always ignore certain commits? Want to fix git blame once and for all']"
1384,21,1384_stopwatch_timer_precison_chronometer,"['stopwatch', 'timer', 'precison', 'chronometer', 'shows', 'utility', 'timing', 'swing', 'javafx', 'times']","['Trying to use StopWatch outside a method', 'Stopwatch in java', 'Is there a stopwatch in Java?']"
1385,21,1385_options_chrome_page_webextensions,"['options', 'chrome', 'page', 'webextensions', 'extension', 'link', 'opnibox', 'deny', 'beside', 'tutorials']","['How do you open Chrome extension options page from a web page?', 'How do you link to the options page in a chrome extension?', 'How do you open Chrome extension options page from a web page?']"
1386,21,1386_appsettings_netcore_json_getsetting,"['appsettings', 'netcore', 'json', 'getsetting', 'launchsettings', 'iwebhostbuilder', 'getsection', 'core', 'asp', 'settings']","['how to get value from appsettings.json', 'Read appsettings.json from a class in .NET Core 2', 'Get values from appsettings.json in .net core 3.1']"
1387,21,1387_nil_coalescing_codable_decodable,"['nil', 'coalescing', 'codable', 'decodable', 'jsonencoder', 'encodable', 'jsondecoder', 'encode', 'swift', 'decoding']","[""When in swift 3.0 nil coalescing used, didn't get expected result"", 'How does the Nil Coalescing (??) operator in swift work?', 'Swift nil coalescing operator with array']"
1388,20,1388_struct_structs_reference_owns,"['struct', 'structs', 'reference', 'owns', 'restrictions', 'mutable', 'borrowed', 'hold', 'sibling', 'able']","['How to use struct declare', ""Why can't I store a value and a reference to that value in the same struct?"", 'Changing a struct with one type to another type']"
1389,20,1389_swipe_direction_uiswipegesturerecognizer_swipes,"['swipe', 'direction', 'uiswipegesturerecognizer', 'swipes', 'directions', 'gesture', 'landscape', 'sideways', 'swiping', 'swipegesturerecognizer']","['How to detect swipe direction, touch position, etc?', 'How to detect swipe direction?', 'how detect swipe gesture direction?']"
1390,20,1390_uiswitch_tint_state_ios7,"['uiswitch', 'tint', 'state', 'ios7', 'nsswitch', 'ontintcolor', 'uiswitches', 'blue', 'ios8', 'border']","[""UISwitch's color"", 'How to change UISwitch default color for OFF state?', 'UISwitch set state']"
1391,20,1391_decimal_trailing_decimals_000,"['decimal', 'trailing', 'decimals', '000', 'zeros', '000000', '68', '82809999', 'zero', 'zeroes']","['Python Decimal to String', 'Decimal in Python', 'Format decimal without trailing zeros']"
1392,20,1392_dp0_batch_d0_windows,"['dp0', 'batch', 'd0', 'windows', 'dpa', 'msg', 'pushd', 'dps0', 'f0', 'indicates']","['Difference between ""%~dp0"" and "".\\""?', 'What does %~dp0 mean, and how does it work?', 'What does %~dp0 mean']"
1393,20,1393_size_mb_disk_64kb,"['size', 'mb', 'disk', '64kb', 'unc', 'du', 'gb', 'filesize', 'kb', 'walk']","['Get size of folder or file', ""Can't get size of directory in Java"", 'How to get file size in Java']"
1394,20,1394_threadabortexception_aborted_redirect_response,"['threadabortexception', 'aborted', 'redirect', 'response', 'threadexception', 'thread', 'threading', 'mscorlib', 'w3wp', 'threadabortedexception']","['Thread was being aborted in Response.Redirect', 'Response.Redirect not working. ThreadAbortException', 'System.Threading.ThreadAbortException caused by Response.Redirect']"
1395,20,1395_uialertcontroller_uialertview_actionsheet_uiactionsheet,"['uialertcontroller', 'uialertview', 'actionsheet', 'uiactionsheet', 'ios8', 'presented', 'sheet', 'uialert', 'uialertviewdelegate', 'uialertviewcontroller']","['UIAlertController - Override ActionSheet by default?', 'How to use UIAlertController to replace UIActionSheet?', 'Swift UIAlertController -> ActionSheet iPad iOS8 Crashes']"
1396,20,1396_false_evaluates_evaluate_chained,"['false', 'evaluates', 'evaluate', 'chained', 'treated', 'true', 'otherwise', 'differentiate', 'evaluating', 'comparisons']","['Python: False vs 0', ""'True' and 'False' in Python"", 'is (0.1 + 0.2) == 0.3 true or false?']"
1397,20,1397_ado_connection_handshake_ssms,"['ado', 'connection', 'handshake', 'ssms', 'pre', 'expired', 'login', 'connect', 'timeout', 'server']","[""Can't Establish A Connection To SQL Server Using ADO.NET"", 'Exception with connection in ADO.NET', 'ssms connection timeout expired pre-login handshake error']"
1398,20,1398_socket_io_ssl_https,"['socket', 'io', 'ssl', 'https', 'node', 'nginx', 'wss', 'js', 'tls', 'fun']","['node.js, socket.io and SSL', 'Socket.io/Node.js and SSL', 'node.js, socket.io and SSL']"
1399,20,1399_aes_encrypt_encryption_nsstring,"['aes', 'encrypt', 'encryption', 'nsstring', 'decrypt', 'aes256', '256', 'encrypted', '128', 'aes128']","['Encrypt NSString using AES-128 and a key', 'AES Encryption for an NSString on the iPhone', 'iPhone: Encrypt Nsstring using AES 128 and Decrypt']"
1400,20,1400_map_json_ninja_mule,"['map', 'json', 'ninja', 'mule', 'hashmap', 'marshalling', 'unmarshal', 'jsonobject', '500', 'endpoint']","['How to convert a Map of Map to Json', 'Map to JSON in Java', 'Convert JSON to Map']"
1401,20,1401_callbacks_threetenabp_callback_listener,"['callbacks', 'threetenabp', 'callback', 'listener', 'activity', 'addondestinationchangedlistener', 'surfaceholder', 'customevents', 'android', 'geofence']","['What are callbacks and how do I implement them in Android?', 'How to Define Callbacks in Android?', 'Callbacks in Android']"
1402,20,1402_omp_parallel_parallelism_critical,"['omp', 'parallel', 'parallelism', 'critical', 'pragma', 'ordered', 'provide', 'simd', 'directive', 'task']","['omp parallel vs. omp parallel for', 'Difference between omp for and omp parallel', 'Difference between omp for and omp parallel']"
1403,20,1403_comprehension_else_comprehensions_conditions,"['comprehension', 'else', 'comprehensions', 'conditions', 'appearance', 'nesting', 'guard', 'ordering', 'along', 'pythonic']","['if/else in a list comprehension', 'if/else in a list comprehension', 'if/else in a list comprehension']"
1404,20,1404_quotes_quote_escaping_attribute,"['quotes', 'quote', 'escaping', 'attribute', 'html', 'quotation', 'outerheight', 'unquoted', 'getquote', 'marks']","['HTML attribute with/without quotes', 'Using quotes inside html attribute', 'HTML: attribute double quotes not working-']"
1405,20,1405_important_overriding_override_css,"['important', 'overriding', 'override', 'css', 'style', 'apply', 'opposite', 'managing', 'property', 'media']","['How to override !important?', 'Overriding !important with css or jquery', 'can i add css with !important , only using jquery']"
1406,20,1406_numpy_arrays_comparing_wise,"['numpy', 'arrays', 'comparing', 'wise', 'elementwise', 'equality', 'threshold', 'closer', 'comparison', 'compare']","['Comparing two numpy arrays to each other', 'Comparing elements of numpy arrays in python', 'NumPy: Comparing Elements in Two Arrays']"
1407,20,1407_ffmpeg_video_images_slideshow,"['ffmpeg', 'video', 'images', 'slideshow', 'mp4', 'multimedia', 'lossless', 'videos', 'thumbnail', 'cutting']","['How to create a video from images with FFmpeg? [closed]', 'ffmpeg does not make a video from my images', 'Ffmpeg images to video']"
1408,20,1408_percentage_relativelayout_relative_constraintlayout,"['percentage', 'relativelayout', 'relative', 'constraintlayout', 'layout', 'layouts', 'heigt', 'dimens', 'width', 'scalable']","['set width and height as percentage in relative layout', 'Android percentage width layout', 'Percentage width for a relative layout']"
1409,20,1409_slicing_slice_slices_sublists,"['slicing', 'slice', 'slices', 'sublists', 'paging', 'sliced', 'lists', 'copying', 'inverse', 'generating']","['Python, slicing lists?', 'Slicing lists in python', 'Slicing python lists']"
1410,20,1410_keyword_mechanize_www_forgo,"['keyword', 'mechanize', 'www', 'forgo', 'new', 'perhaps', 'constuctor', 'described', 'pl', 'ecmascript']","[""What is the 'new' keyword in JavaScript?"", ""Javascript 'new' Keyword"", 'Can\'t locate object method ""new"" via package ""www::Mechanize"" (perhaps you forgo t to load ""www::Mechanize""?) at gmail.pl line 9, <stdin> line 2']"
1411,20,1411_dotnet_occurred_attempting_hosting,"['dotnet', 'occurred', 'attempting', 'hosting', 'exe', 'process', 'determine', 'dnx', 'id', 'occured']","['""An error occurred attempting to determine the process id of dotnet.exe""', 'An error occurred while attempting to determine the process id of dotnet.exe which is hosting your application. One or more errors occurred', 'An error occurred while attempting to determine the process id of dotnet.exe which is hosting your application. One or more errors occurred']"
1412,20,1412_networkx_graph_visualization_network,"['networkx', 'graph', 'visualization', 'network', 'flame', 'graphs', 'draw', 'hundreds', 'pygraphviz', 'visualisation']","['Creating layout networkx graph layout using python', 'Apply color to specific node networkx', 'Change graph visualization with networkx']"
1413,20,1413_91_vba_office_worksheets,"['91', 'vba', 'office', 'worksheets', 'runtime', 'excel', 'macros', 'myth', 'workbooks', 'instancing']","['VBA run time error 91', 'run time error 91 vba', ""VBA: Run time error '91'?""]"
1414,20,1414_search_searching_table_overrides,"['search', 'searching', 'table', 'overrides', 'schedule', 'doc', 'filter', 'reloading', 'vanilla', 'inputs']","['How do I search a string in JavaScript array using jQuery?', 'Search on php table with javascript or jQuery', 'Search HTML Table with jQuery']"
1415,20,1415_bind_param_mysqli_prepared_bind,"['bind_param', 'mysqli', 'prepared', 'bind', 'mysqli_stmt_bind_param', 'statements', 'dynamically', 'stmt', 'clauses', 'statement']","['How to use mysqli::bind_param with an array as the second parameter', ""mysqli's bind_param using an array"", 'How to bind mysqli bind_param arguments dynamically in PHP?']"
1416,20,1416_codec_unicodedecodeerror_decode_byte,"['codec', 'unicodedecodeerror', 'decode', 'byte', 'ascii', '0xef', 'ordinal', 'position', '128', 'utf8']","[""Python: UnicodeDecodeError: 'ascii' codec can't decode byte 0xef in position 0: ordinal not in range(128)"", ""UnicodeDecodeError: 'ascii' codec can't decode byte 0xef in position 1"", ""exceptions.UnicodeDecodeError - 'ascii' codec can't decode byte""]"
1417,20,1417_fileprovider_configured_geturiforfile_root,"['fileprovider', 'configured', 'geturiforfile', 'root', 'failed', 'illegalargumentexception', 'storage', 'contains', 'storagefolder', 'ksoap2']","['Fileprovider Failed to find configured root error', 'Android: FileProvider ""Failed to find configured root""', 'Android Fileprovider: Failed to find configured root that contains']"
1418,20,1418_phonegap_cordova_mobile_apache,"['phonegap', 'cordova', 'mobile', 'apache', 'pageshow', 'pagecontainer', 'pagecontainershow', 'unclear', 'gap', 'hybrid']","['Cordova/Phonegap confusion', 'What is the Difference between Apache Cordova and PhoneGap?', 'Cordova or Phonegap? Which one?']"
1419,20,1419_beginners_definitive_cvs_workflow,"['beginners', 'definitive', 'cvs', 'workflow', 'guide', 'practical', 'development', 'thesis', 'modding', 'hub']","['Git for beginners: The definitive practical guide', 'Git for beginners: The definitive practical guide', 'Git for beginners: The definitive practical guide']"
1420,20,1420_deprecated_php7_phpids_refusal,"['deprecated', 'php7', 'phpids', 'refusal', 'solrdocument', 'solrobject', 'php8', 'traversable', 'faced', 'hinting']","[""How can I make the deprecated functions to work in PHP's latest version?"", 'How to fix the following deprecated issue faced on WordPress website: Deprecated', 'PHP Deprecated: Methods with the same name']"
1421,20,1421_wcf_endpoint_endpoints_service,"['wcf', 'endpoint', 'endpoints', 'service', 'client', 'phase', 'wcfintegration', 'usedefaultwebproxy', 'webservices', 'communicating']","['WCF Application EndPoint', 'What is an ""endpoint"" in WCF?', 'wcf why does a client need the same endpoint as the service?']"
1422,20,1422_easiest_brought_whether_reliably,"['easiest', 'brought', 'whether', 'reliably', 'number', 'letter', 'doesnt', 'isnan', 'zero', 'greater']","['how can I check if a variable brought as a string is a number or letter in Javascript?', ""What's the easiest way to check if a javascript variable is a number and greater than zero?"", ""What's the easiest way to check if a javascript variable is a number and greater than zero?""]"
1423,20,1423_keys_literal_existant_keyname,"['keys', 'literal', 'existant', 'keyname', 'dash', 'okay', 'spread', 'represented', 'object', 'variable']","['Javascript variable object keys', 'How to make a variable using keys from literal object, javascript', 'Is there a way to use variable keys in a JavaScript object literal?']"
1424,20,1424_apk_reduce_size_800kb,"['apk', 'reduce', 'size', '800kb', 'minified', 'increased', 'decrease', 'shrink', 'restricting', 'assets']","['Reduce apk size android', 'How to reduce Android Apk size', 'How to reduce Android APK size?']"
1425,20,1425_finally_try_block_catch,"['finally', 'try', 'block', 'catch', 'trycatch', 'interacts', 'kills', 'strangely', '42', 'placement']","['Difference between try{..}catch{...} with finally and without it', 'Is it bad practice to return from within a try catch finally block?', 'Python try finally block returns']"
1426,20,1426_background_nohup_gdb_job,"['background', 'nohup', 'gdb', 'job', 'process', 'jobs', 'running', 'droplet', 'suspended', 'garbled']","['How to run a program in background?', 'Running bash commands in the background without printing job and process ids', 'Running bash commands in the background without printing job and process ids']"
1427,20,1427_combinbation_grepl_numeric_argb,"['combinbation', 'grepl', 'numeric', 'argb', 'contains', 'digits', 'validating', 'string', 'digit', 'starts']","['Check if string contains only digits', 'check the string having full number or the combinbation of number and string', 'How do I check if a String contains a numeric value']"
1428,20,1428_private_readonly_marking_field,"['private', 'readonly', 'marking', 'field', 'properties', 'exposed', 'fields', 'accessors', 'evil', 'protected']","['Is there any point to marking a private field readonly?', 'Is there any point to marking a private field readonly?', 'Why can I change a private static readonly field but not a public one?']"
1429,20,1429_sdk_ios_xcode5_develop,"['sdk', 'ios', 'xcode5', 'develop', 'sdk6', 'snow', 'leopard', 'xcode', 'iphone', 'ios5']","['Is it possible to install iOS 7 SDK on Xcode 6?', 'xCode 3 and SDK iOS 5 (is possible?)', 'Can I get the iOS 5 SDK on Xcode 3.2.6?']"
1430,20,1430_performance_mvc_asp_improving,"['performance', 'mvc', 'asp', 'improving', 'website', 'net', '20s', 'cold', 'improve', 'high']","['How to increase the performance on my ASP.NET MVC 2 website?', 'ASP.NET MVC performance', 'ASP.NET MVC performance']"
1431,20,1431_replace_replacing_lines_line,"['replace', 'replacing', 'lines', 'line', 'bat', 'editing', 'file', 'those', 'rewrite', 'removed']","['replace line in python file', 'Replace line in text file using python', 'Python replace line in text file']"
1432,20,1432_linq_joining_join_aggregate,"['linq', 'joining', 'join', 'aggregate', 'explained', 'orderbydescending', 'tables', 'group', 'facing', 'entityframework']","['Join and Group in LINQ', 'LINQ join and group', 'linq group by with join']"
1433,20,1433_comparison_philosophy_comparisons_operators,"['comparison', 'philosophy', 'comparisons', 'operators', 'underlying', 'circuting', 'php', 'juggling', 'equality', 'lesser']","['PHP Comparison Operators and Data Types', 'Underlying philosophy behind php type comparisons', 'Underlying philosophy behind php type comparisons']"
1434,20,1434_controllers_project_projects_mvc,"['controllers', 'project', 'projects', 'mvc', 'views', 'solution', 'blogengine', 'controllerfactory', 'mutliple', 'controller']","['Call controllers from one project to another project', 'Call controllers from one project to another project', 'Use Controllers from one MVC project in another MVC project, same solution']"
1435,20,1435_events_listeners_event_delegating,"['events', 'listeners', 'event', 'delegating', 'handlers', 'extreme', 'dom', 'delegation', 'capturing', 'eventhandler']","['How to handle events in JavaScript?', 'what is the difference between js events and DOM events?', 'Javascript Events']"
1436,20,1436_xhtml_tags_contained_except,"['xhtml', 'tags', 'contained', 'except', 'regex', 'self', 'match', 'textnode', 'regexp', 'wrap']","['RegEx match open tags except XHTML self-contained tags', 'RegEx match open tags except XHTML self-contained tags', 'RegEx match open tags except XHTML self-contained tags']"
1437,20,1437_connections_disconnect_smo_connection,"['connections', 'disconnect', 'smo', 'connection', 'restoring', 'database', 'active', '2005', 'bak', 'ip']","['Disconnect active SQL connections from SMO', 'How do you close all connections to a local database in SQL Server Management Studio?', 'How to close all active database connections in one shot?']"
1438,20,1438_didselectrowatindexpath_uitableview_tap_called,"['didselectrowatindexpath', 'uitableview', 'tap', 'called', 'diddeselectrowatindexpath', 'tableview', 'didselectrow', 'deselection', 'being', 'initiated']","['-didSelectRowAtIndexPath: not being called', 'didSelectRowAtIndexPath: not being called', 'swift uitableview didSelectRowAtIndexPath not being called']"
1439,20,1439_prototype_constructor_constructorfunc_attach,"['prototype', 'constructor', 'constructorfunc', 'attach', 'prototypal', 'prototypes', 'inheritance', 'necessary', 'clarity', 'mimicking']","['Understanding prototype/constructor in javascript', 'The constructor of Object.prototype', 'Use of prototype constructor in JS']"
1440,20,1440_unfoldr_difference_between_carriage,"['unfoldr', 'difference', 'between', 'carriage', 'literals', 'newline', 'functional', 'matching', 'behavior', 'differences']","[""What's the difference between \\r\\n and \\n"", ""What's the difference between \\n and \\r\\n?"", 'Why the ""r"" in unfoldr?']"
1441,20,1441__get_empty_getparam_sporadic,"['_get', 'empty', 'getparam', 'sporadic', 'request_uri', '_server', 'symfony', 'unwanted', 'accepts', 'exists']","['Trying to check $_GET for empty parameters', 'If Statement with Empty _Get', 'How to check if $_GET is empty?']"
1442,20,1442_lines_total_repository_github,"['lines', 'total', 'repository', 'github', 'count', 'contributed', 'repositories', 'cloning', 'commited', 'team']","['Number of files/lines of code from *github.Repository', 'Can you get the number of lines of code from a GitHub repository?', 'How to get a count of the total number of lines in almost all files in git repository?']"
1443,20,1443_pass_parameter_deriving_instantiating,"['pass', 'parameter', 'deriving', 'instantiating', 'class', 'passing', 'extends', 'argument', 'definitions', 'creation']","['Pass a class as a parameter?', 'How to pass a Class as Parameter', 'How can i pass object as parameter from a class to another class?']"
1444,20,1444_django_database_models_isssue,"['django', 'database', 'models', 'isssue', 'dbs', 'orm', 'airflow', 'scrapy', 'crawler', 'bypassing']","['Django model outside of django', 'Can i access different database in django than other default database', 'Django: Query Database']"
1445,20,1445_kotlin_substring_replacment_repeat,"['kotlin', 'substring', 'replacment', 'repeat', 'until', 'specified', 'lastindexof', 'times', 'analog', 'contains']","['How to check whether a string contains a substring in Kotlin?', 'Filter a substring in kotlin', 'Kotlin find substring in list of strings']"
1446,20,1446_wildcard_wildcards_search_matching,"['wildcard', 'wildcards', 'search', 'matching', 'boto3', 'cards', 'searched', 'wild', 'prefixes', 'complicated']","['Search for string with wildcard in file python', 'Wildcard string search', 'Python wildcard search in string']"
1447,20,1447_txt_replace_br_smartest,"['txt', 'replace', 'br', 'smartest', 'benining', 'newlines', 'php', 'overwrite', 'unified', 'occurences']","['replacing a single line of a .txt file using php', 'find and replace a specific string of a a particular line in txt file with php', 'Php replace line in a file txt']"
1448,20,1448_architecture_plug_plugin_extendable,"['architecture', 'plug', 'plugin', 'extendable', 'softwares', 'arhitecture', 'modularize', 'ins', 'architect', 'architectures']","['Plugin-like architecture in .NET', 'Plugin Architecture in PHP', 'A php plugin architecture']"
1449,20,1449_nhibernate_persistentgenericbag_cast_fluent,"['nhibernate', 'persistentgenericbag', 'cast', 'fluent', 'persister', 'persistentgenericset', 'persistentbag', 'collection', 'generic', 'ilist']","['Unable to cast object of type NHibernate.Collection.Generic.PersistentGenericBag to List', ""Unable to cast object of type 'NHibernate.Collection.Generic.PersistentGenericBag'"", ""Unable to cast object of type 'NHibernate.Collection.Generic.PersistentGenericBag'""]"
1450,20,1450_transactional_spring_transactions_transaction,"['transactional', 'spring', 'transactions', 'transaction', 'propagation', 'hhh000437', 'sqlsession', 'bll', 'anotation', 'mybatis']","['How to call non-transactional methods from a Transactional method', 'Java and Spring. Transactional annotation @Transactional', 'Spring: A method who call a transactional method has to be transactional?']"
1451,20,1451_auth_swift_authentication_basic,"['auth', 'swift', 'authentication', 'basic', 'mailchimp', 'flooding', 'accelerometer', 'httpscallable', 'alamofire3', 'http']","['Having issues making HTTP request and simple auth swift', 'Basic Auth Request in Swift', 'How to make an HTTP request + basic auth in Swift']"
1452,20,1452_urllib2_urllib_urllib3_urlopen,"['urllib2', 'urllib', 'urllib3', 'urlopen', 'importerror', 'replaces', 'import', 'named', 'module', 'python3']","['Import error: No module name urllib2', ""I can't import urllib2"", 'Python 3.2 Unable to import urllib2 (ImportError: No module named urllib2)']"
1453,20,1453_mail_laravel_swiftmailer_send,"['mail', 'laravel', 'swiftmailer', 'send', 'email', 'view', 'mailgun', 'mails', 'sending', 'phpmailer']","['View [Mail] not found Laravel 5.4', 'Laravel mail: pass string instead of view', 'Laravel Mail::send how to pass data to mail View']"
1454,20,1454_closure_self_unowned_swift,"['closure', 'self', 'unowned', 'swift', 'completionhandler', 'optionally', 'likely', 'closures', 'lead', 'shall']","['Swift 2.1 Closure', '`self` in Swift closure', 'Closure in Swift?']"
1455,20,1455_staticfiles_dirs_static_root_django_static,"['staticfiles_dirs', 'static_root', 'django', 'static', 'i18n', 'staticfiles_dir', 'django1', 'setting', 'downloadable', 'dropbox']","['The STATICFILES_DIRS setting should not contain the STATIC_ROOT setting', 'Django. settings.py -> STATIC_ROOT/STATICFILES_DIRS', 'django The STATICFILES_DIRS setting should not contain the STATIC_ROOT setting']"
1456,20,1456_numbers_emacs_vim_permanently,"['numbers', 'emacs', 'vim', 'permanently', 'enable', 'highlighting', 'textwrangler', 'numbering', 'highlighted', 'eclipse']","['vim line numbers - how to have them on by default?', 'How to enable line numbers for the Vim help permanently', 'How to set line numbers by default in vim?']"
1457,20,1457_mobile_authentication_api_rest,"['mobile', 'authentication', 'api', 'rest', 'authorization', 'auth', 'authorizing', 'everyauth', 'apps', 'tenant']","['REST API authentication for mobile application iOS and Android', 'REST API authentication for web app and mobile app', 'Mobile app + REST API authentication']"
1458,20,1458_datepicker_dates_disable_ui,"['datepicker', 'dates', 'disable', 'ui', 'calendar', 'holidays', 'timepicker', 'sundays', 'saturdays', 'pickmeup']","['jQuery datepicker date array disable dates incorrect', 'Jquery UI datepicker. Disable array of Dates', 'Jquery datepicker disable multiple dates with range']"
1459,20,1459_assets_folder_android_filegenerationworkaction,"['assets', 'folder', 'android', 'filegenerationworkaction', 'avd', 'mergeresources', 'canary', 'worklight', 'unversioned', 'studio']","['Adding an assets folder in Android Studio', 'Adding an assets folder in Android Studio', ""Can't create assets folder in android studio""]"
1460,20,1460_dataframe_frame_nested_sublist,"['dataframe', 'frame', 'nested', 'sublist', 'taxize', 'taxonomy', 'deeply', 'convert', 'lists', 'wide']","['How to convert a nested lists to dataframe in R?', 'Convert nested list to dataframe in R', 'R dataframe to nested list']"
1461,20,1461_webpack_babel_typescript_preset,"['webpack', 'babel', 'typescript', 'preset', 'configuring', 'setup', 'tsloader', 'provideplugin', 'loader', 'shaking']","['Adding Typescript to existing React, Webpack and Babel project', 'How to setup TypeScript + Babel + Webpack?', 'How to setup TypeScript + Babel + Webpack?']"
1462,20,1462_coverage_100_xctest_testing,"['coverage', '100', 'xctest', 'testing', 'statistics', 'measure', 'tested', 'xcuitest', 'metrics', 'qt']","['On Code-Coverage', 'What is Code Coverage?', 'What is Code Coverage?']"
1463,20,1463_plot_ggplot_geom_line_draw,"['plot', 'ggplot', 'geom_line', 'draw', 'cateogries', 'multiplot', 'blank', 'ggplot2', 'empty', 'legend']","['Keep blank cateogries in ggplot plot', 'How to add empty value on x axis for line plot in ggplot', 'How to add empty value on x axis for line plot in ggplot']"
1464,20,1464_numerically_listfiles_alphabetical_ascending,"['numerically', 'listfiles', 'alphabetical', 'ascending', 'sort', 'names', 'listed', 'stored', 'files', 'alphabetically']","[""Sorting files 'numerically' instead of alphabetically in java"", 'java File.listFiles() order not guaranteed and causes JUnit tests to fail', 'how to File.listFiles in alphabetical order?']"
1465,20,1465_leaks_memory_jni_leakage,"['leaks', 'memory', 'jni', 'leakage', 'absent', 'outofmemory', 'growth', 'totally', 'analyzing', 'deallocation']","['Are Memory Leaks Possible in Java?', 'Is memory leaks possible in java?', 'Java and Memory Leaks']"
1466,20,1466_palindrome_checker_palindromes_freecodecamp,"['palindrome', 'checker', 'palindromes', 'freecodecamp', 'hand', 'attempting', 'evaluate', 'closed', 'logic', 'letters']","['JS How to for palindrome', 'Check if a String is a Palindrome in JavaScript', 'Javascript Palindrome Check']"
1467,20,1467_distinct_queries_morelinq_distinctby,"['distinct', 'queries', 'morelinq', 'distinctby', 'group', 'inherently', 'aggregate', 'imply', 'these', 'redundant']","['What is the difference between GROUP BY and DISTINCT?', 'GROUP BY x vs DISTINCT( x )', 'Distinct vs Group By']"
1468,20,1468_html_tags_rvest_fews,"['html', 'tags', 'rvest', 'fews', 'rendered', 'tag', 'ways', 'plain', 'causes', 'detect']","['How to check string contains html tags most generic way', 'Check for HTML tags', 'Check for HTML tags']"
1469,20,1469_345_234_456_123,"['345', '234', '456', '123', 'spec', 'rationale', 'hood', 'past', 'declaring', 'assignments']","['Are trailing commas in arrays and objects part of the spec?', 'What is happening under the hood in javascript when using the Array brackets notation', 'javascript [1,2,3,4,5,6,7] becomes 123, 234, 345, 456 etc']"
1470,20,1470_docker_docker_host_host_toolbox,"['docker', 'docker_host', 'host', 'toolbox', 'container', 'network', 'containerid', 'boot2docker', 'docker0', 'cidr']","['Understanding what host means in Docker', 'Docker daemon config file on boot2docker / docker-machine / Docker Toolbox', 'How many CPUs does a docker container use?']"
1471,20,1471_frp_containers_functions_within,"['frp', 'containers', 'functions', 'within', 'forward', 'definitions', 'complete', 'possible', 'function', 'inside']","['c++ using functions within functions', 'c++ using functions within functions', 'Is there a ""complete"" set of functions/operators for FRP?']"
1472,20,1472_sent_err_http_headers_sent_headers_client,"['sent', 'err_http_headers_sent', 'headers', 'client', 'already', 'cannot', 'modify', 'information', '371', 'setcookie']","['ERR_HTTP_HEADERS_SENT: Cannot set headers after they are sent to the client Passport', 'Error [ERR_HTTP_HEADERS_SENT]: Cannot set headers after they are sent to the client', 'ERR_HTTP_HEADERS_SENT: Cannot set headers after they are sent to the client']"
1473,20,1473_datacontext_xaml_viewmodel_wpf,"['datacontext', 'xaml', 'viewmodel', 'wpf', 'virtualizing', 'datacontex', 'itemscontrol', 'bind', 'window', 'treeview']","['Set DataContext in WPF XAML to a specific object', 'WPF bind DataContext in xaml to ViewModel in code', 'How do I set a ViewModel on a window in XAML using DataContext property?']"
1474,20,1474_events_touch_simulating_gestures,"['events', 'touch', 'simulating', 'gestures', 'simulate', 'browsers', 'mobile', 'funcationality', 'touchscreen', 'touchevents']","['Simulating touch events with javascript', 'simulating Touch events in iPhone', 'Simulating touch events on a PC browser']"
1475,20,1475_uitextview_wrap_word_contentoffset,"['uitextview', 'wrap', 'word', 'contentoffset', 'nstextview', 'wrapping', 'rightview', 'uitextattributefont', 'uitextattributetextshadowoffset', 'nslayoutmanager']","['UITextView not word wrapping', 'Prevent word wrap with UITextView', 'UITextView character wrap but not word wrap']"
1476,20,1476_unit_private_testing_objective,"['unit', 'private', 'testing', 'objective', 'test', 'methods', 'functionality', 'backward', 'members', 'tests']","['Unit Testing of private methods in Xcode', 'Unit testing private method - objective C', 'Unit testing private method - objective C']"
1477,20,1477_fat_simulator_armv6_library,"['fat', 'simulator', 'armv6', 'library', 'armv7', 'i386', 'static', 'device', 'arm64', 'ios']","['How do i compile a static library (fat) for armv6, armv7 and i386', 'How do i compile a static library (fat) for armv6, armv7 and i386', 'How to build fat static library for armv6,armv7 and i386']"
